,eff_stress,VP,VS,DEN,VSH_GR,PHIT_ND
323,17.46,2928.63,1463.49,2.16,0.31,0.3
324,19.96,2743.66,1570.02,2.19,0.49,0.3
325,17.47,3069.43,1568.3,2.27,0.37,0.23
326,19.97,2970.22,1553.62,2.27,0.31,0.27
327,19.98,2883.01,1431.0,2.22,0.25,0.29
328,19.52,2865.33,1414.83,2.12,0.57,0.34
329,19.53,2894.24,1446.7,2.1,0.43,0.35
330,20.01,3420.57,1624.78,2.63,0.6,0.13
331,20.02,3484.35,1588.57,2.45,0.53,0.28
332,19.56,2921.99,1477.71,2.07,0.28,0.37
333,19.57,2930.77,1481.8,2.08,0.33,0.36
334,17.25,3064.25,1505.58,2.26,0.51,0.27
335,17.26,3115.94,1520.25,2.27,0.46,0.26
336,17.27,2925.1,1403.8,2.17,0.27,0.31
337,19.6,2860.29,1423.58,2.08,0.36,0.36
338,18.28,2847.22,1294.14,2.37,0.29,0.27
339,17.28,2908.8,1396.47,2.15,0.17,0.33
340,19.61,2890.81,1450.88,2.1,0.31,0.36
341,17.3,2902.5,1376.62,2.14,0.2,0.33
342,18.31,2874.63,1454.78,2.25,0.24,0.27
343,17.31,2935.6,1423.07,2.17,0.22,0.31
344,19.63,2805.98,1378.48,2.1,0.4,0.36
345,18.33,3000.12,1533.22,2.28,0.19,0.28
346,17.32,2894.38,1388.64,2.15,0.16,0.32
347,19.65,2894.24,1448.38,2.1,0.4,0.35
348,17.33,2854.3,1368.56,2.13,0.18,0.33
349,18.35,3016.19,1578.26,2.3,0.13,0.26
350,17.35,2840.6,1368.55,2.12,0.25,0.33
351,19.67,2915.0,1458.4,2.11,0.52,0.34
352,18.37,2989.92,1574.45,2.25,0.11,0.27
353,17.36,2907.43,1372.56,2.15,0.2,0.32
354,19.69,2845.27,1402.31,2.16,0.53,0.32
355,18.39,2972.06,1530.11,2.25,0.11,0.27
356,17.38,2937.67,1409.23,2.13,0.14,0.33
357,19.7,2789.93,1359.1,2.11,0.52,0.34
358,17.39,2880.81,1467.28,2.16,0.17,0.31
359,18.41,2948.8,1521.6,2.25,0.15,0.3
360,17.4,4917.99,2488.89,2.4,0.16,0.16
361,19.73,2909.79,1439.71,2.19,0.63,0.32
362,18.43,2963.16,1519.77,2.28,0.33,0.29
363,17.42,3046.49,1433.59,2.1,0.19,0.35
364,19.74,2872.08,1413.08,2.13,0.62,0.34
365,18.45,3022.37,1533.49,2.22,0.28,0.29
366,19.76,3175.0,1636.82,2.29,0.6,0.29
367,19.76,3410.35,1813.15,2.37,0.61,0.26
368,17.45,3630.64,2212.31,2.3,0.22,0.21
369,17.46,2861.16,1380.26,2.14,0.31,0.33
370,17.47,2835.91,1378.24,2.13,0.26,0.33
371,17.48,2872.84,1418.44,2.13,0.32,0.33
372,18.51,2987.82,1483.47,2.25,0.1,0.28
373,18.52,2960.7,1475.9,2.28,0.1,0.3
