,Unnamed: 0,DEPTH,DEN,GR,PHIE_D,PHIT_D,VP,VS,VSH_GR
150,4030,1803.75,2.15377,25.80412,0.29119429999999996,0.3101438,3.06144,1.57342,0.1212767
151,4031,1803.875,2.1473400000000002,27.058490000000003,0.2934394,0.3141625,3.06149,1.57325,0.1326276
152,4032,1804.0,2.14091,28.31287,0.29564009999999996,0.3181813,3.06155,1.57308,0.1442642
153,4033,1804.125,2.14121,29.41187,0.2938219,0.3179937,3.0785400000000003,1.57423,0.15469960000000002
154,4034,1804.25,2.1366400000000003,26.57025,0.3008225,0.32085,3.08897,1.57376,0.1281759
155,4035,1804.375,2.13846,28.783820000000002,0.29647690000000004,0.31971259999999996,3.1064599999999998,1.57659,0.1487082
156,4036,1804.5,2.1402799999999997,27.5379,0.29716240000000005,0.318575,3.1061099999999997,1.5767,0.1370409
157,4037,1804.625,2.1421,26.29198,0.2978034,0.3174375,3.10577,1.57681,0.1256579
158,4038,1804.75,2.14763,25.65038,0.2952462,0.3139813,3.08597,1.57774,0.1199048
159,4039,1804.875,2.15179,26.02974,0.29211609999999993,0.3113813,3.07334,1.58169,0.12329760000000001
160,4040,1805.0,2.15158,27.26545,0.29049250000000004,0.3115125,3.0750599999999997,1.5858700000000001,0.1345277
161,4041,1805.125,2.1453900000000004,24.7809,0.29784629999999995,0.31538130000000003,3.09134,1.6357,0.112224
162,4042,1805.25,2.14115,24.62554,0.3007086,0.3180313,3.10105,1.61707,0.11086549999999999
163,4043,1805.375,2.13691,24.47018,0.3035702,0.3206813,3.11082,1.59886,0.10951110000000001
164,4044,1805.5,2.13394,26.50277,0.30260570000000003,0.3225375,3.1128400000000003,1.61599,0.1275641
165,4045,1805.625,2.14018,27.283820000000002,0.29759109999999994,0.3186375,3.1161,1.6078299999999999,0.1346967
166,4046,1805.75,2.14755,25.26681,0.2958281,0.3140312,3.11788,1.6048,0.1165001
167,4047,1805.875,2.1491700000000002,25.3302,0.29472800000000005,0.3130188,3.11306,1.60131,0.11706099999999998
168,4048,1806.0,2.15079,25.39359,0.2936278,0.3120063,3.10825,1.5978299999999999,0.11762260000000001
169,4049,1806.125,2.1461,26.708759999999998,0.2947134,0.3149375,3.09837,1.59354,0.1294345
170,4050,1806.25,2.14483,26.899459999999998,0.2952355,0.3157313,3.0885599999999998,1.59296,0.1311729
171,4051,1806.375,2.14605,29.40033,0.2908143,0.3149688,3.08831,1.60069,0.1545888
172,4052,1806.5,2.1404799999999997,24.6691,0.3010678,0.31845,3.08048,1.60232,0.111246
173,4053,1806.625,2.13843,25.6659,0.3009745,0.3197312,3.0749299999999997,1.60588,0.1200431
174,4054,1806.75,2.13638,26.6627,0.3008539,0.3210126,3.0694,1.6094700000000002,0.1290156
175,4055,1806.875,2.14243,25.70041,0.29842640000000004,0.3172312,3.06235,1.61199,0.12035080000000001
176,4056,1807.0,2.14774,24.48998,0.29677459999999994,0.3139126,3.06657,1.59798,0.1096835
177,4057,1807.125,2.1525,27.05435,0.29022040000000005,0.3109376,3.08833,1.58971,0.1325897
178,4058,1807.25,2.1514599999999997,28.27672,0.2890993,0.31158759999999996,3.10668,1.61242,0.1439248
179,4059,1807.375,2.15862,27.28329,0.2860669,0.3071125,3.10535,1.6182,0.1346918
180,4060,1807.5,2.16578,26.28985,0.28300640000000005,0.3026375,3.10403,1.6240299999999999,0.1256387
181,4061,1807.625,2.1628700000000003,27.07716,0.28370650000000003,0.3044563,3.0956200000000003,1.62911,0.13279870000000002
182,4062,1807.75,2.15766,26.97547,0.28710820000000004,0.3077125,3.0967,1.62432,0.13186760000000003
183,4063,1807.875,2.15223,29.173640000000002,0.2872909,0.3111063,3.11038,1.61794,0.1524182
184,4064,1808.0,2.15378,27.897779999999997,0.28820290000000004,0.3101375,3.1162099999999997,1.61853,0.1403814
185,4065,1808.125,2.1553299999999997,26.621909999999996,0.289068,0.3091688,3.12206,1.6191200000000001,0.12864489999999998
186,4066,1808.25,2.15333,24.797710000000002,0.2928607,0.3104187,3.11527,1.62691,0.1123713
187,4067,1808.375,2.15708,26.08923,0.2887263,0.3080751,3.10509,1.63658,0.123832
188,4068,1808.5,2.153,24.62569,0.293302,0.310625,3.1055,1.63852,0.11086680000000002
189,4069,1808.625,2.14922,24.65843,0.2956199,0.3129875,3.10931,1.6311,0.1111528
190,4070,1808.75,2.14696,25.19901,0.2962905,0.3144,3.11009,1.6274,0.115901
191,4071,1808.875,2.1447,25.73959,0.29695309999999997,0.3158125,3.1108700000000002,1.62371,0.12070039999999999
192,4072,1809.0,2.1529599999999998,25.87395,0.29160290000000005,0.31065,3.1137900000000003,1.62389,0.1219012
193,4073,1809.125,2.1499099999999998,26.66635,0.29239240000000005,0.3125563,3.1289,1.6233799999999998,0.12904880000000002
194,4074,1809.25,2.1526400000000003,25.67427,0.2920816,0.31085,3.1322799999999997,1.62294,0.1201177
195,4075,1809.375,2.1522200000000002,26.467259999999996,0.2912309,0.3111125,3.13009,1.6146200000000002,0.1272424
196,4076,1809.5,2.15181,27.260240000000003,0.2903564,0.3113688,3.1279,1.60638,0.13447979999999998
